geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
DE143C,,,,27259.0,,
DE144C,,,,253589.0,,
DE145C,,,,158202.0,,
DE146C,,,,135180.0,,
DE147C,,,,160245.0,,
DE148C,,,,124995.0,,
DE149C,,,,127861.0,,
DE150C,,,,126013.0,,
DE151C,,,,117478.0,,
DNK_Aalborg_DNK,,,,,,
DNK_Anholt_DNK,,,,,,
DNK_Arhus_DNK,,,,,,
DNK_Humble_DNK,,,,,,
DNK_Kobenhavn_DNK,,,,,,
DNK_Odense_DNK,,,,,,
DNK_Roskilde_DNK,,,,,,
DNK_Ulfborg_DNK,,,,,,
EE001C,24206.285714285714,15714.285714285714,226414.2857142857,441613.71428571426,99377.57142857143,325.79200000000003
EE002C,16451.85714285714,2185.714285714286,46300.0,97772.57142857143,11589.714285714286,374.084
EE003C,615.2857142857143,3528.5714285714284,21171.428571428572,54198.28571428572,21750.14285714286,371.524
ES001C,350970.6666666667,294962.8333333333,2233701.0,5044632.0,1078210.5,433.58666666666664
ES002C,294799.5,198795.83333333334,1622131.0,3721546.6666666665,856727.8333333334,349.3066666666667
ES003C,131946.16666666666,100574.5,575876.5,1412677.1666666667,233882.66666666666,441.41333333333336
ES004C,97624.5,77382.83333333333,336272.0,880341.6666666666,71526.66666666667,453.7183333333333
ES005C,32372.166666666668,34433.333333333336,286666.5,676002.3333333334,101032.16666666667,374.9683333333333
ES006C,52386.5,48146.5,224560.66666666666,577948.1666666666,74568.33333333333,442.45166666666665
ES007C,52939.5,33138.5,186567.5,458445.3333333333,64931.5,489.42
ES008C,28720.333333333332,42015.333333333336,147579.33333333334,379666.6666666667,50610.166666666664,423.925
ES009C,25402.666666666668,15775.833333333334,116216.0,297847.6666666667,24899.833333333332,437.7183333333333
ES010C,22542.5,34920.833333333336,191654.0,419043.1666666667,104261.5,534.4583333333334
ES011C,25277.0,4666.666666666667,41255.5,97711.0,10363.5,484.1016666666667
ES012C,11921.166666666666,10582.833333333334,105499.33333333333,252855.66666666666,35837.0,423.7266666666667
ES013C,18706.333333333332,12119.833333333334,85862.33333333333,218284.0,25855.5,437.71000000000004
ES014C,25538.666666666668,16365.5,140330.16666666666,333349.0,57489.5,459.2083333333333
ES015C,20100.0,8756.166666666666,67004.33333333333,172421.16666666666,23474.166666666668,445.67
ES016C,9276.5,4744.166666666667,35863.333333333336,85219.66666666667,10318.166666666666,507.1116666666667
ES017C,11334.666666666666,15132.0,56387.666666666664,150614.66666666666,8158.833333333333,523.6966666666666
ES018C,48464.5,8330.0,62360.833333333336,150961.33333333334,22560.0,410.855
ES019C,45554.666666666664,41304.333333333336,316378.5,791785.6666666666,87308.66666666667,405.06166666666667
ES020C,27525.166666666668,38847.0,111746.16666666667,323908.6666666667,15057.166666666666,449.5083333333334
ES021C,5790.0,28986.833333333332,133444.5,338404.1666666667,72365.0,438.595
ES022C,17416.0,19976.666666666668,114427.66666666667,294469.8333333333,34731.0,481.945
