freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,PT,2023,30.6,,,PT,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2015,13.3,,,RO,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2016,13.4,,,RO,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2017,14.0,,,RO,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2018,11.1,,,RO,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2019,11.5,,,RO,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2020,12.2,,,RO,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2021,12.3,,,RO,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2022,12.3,,,RO,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RO,2023,12.4,,,RO,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2015,0.8,,,RS,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2016,0.3,,,RS,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2017,0.3,,,RS,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2018,0.3,,,RS,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2019,0.2,,,RS,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2020,15.4,,,RS,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2021,16.8,,,RS,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2022,17.6,,,RS,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,RS,2023,15.2,,,RS,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
