freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,MT,2023,100.0,,,MT,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2019,88.6,,,NL,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2020,89.8,,,NL,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2021,90.6,,,NL,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2022,97.8,,,NL,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NL,2023,98.3,,,NL,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NO,2019,71.4,,,NO,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NO,2020,73.7,,,NO,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NO,2021,75.8,,,NO,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NO,2022,81.9,,,NO,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,NO,2023,93.1,,,NO,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PL,2019,60.3,,,PL,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PL,2020,64.6,,,PL,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PL,2021,70.0,,,PL,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PL,2022,70.7,,,PL,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PL,2023,81.1,,,PL,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2019,83.0,,,PT,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2020,86.6,,,PT,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2021,90.5,,,PT,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2022,93.0,,,PT,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,PT,2023,94.2,,,PT,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,RO,2019,68.1,,,RO,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,RO,2020,75.9,,,RO,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,RO,2021,87.1,,,RO,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,RO,2022,95.6,,,RO,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,RO,2023,95.0,,,RO,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2019,77.1,,,SE,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2020,80.5,,,SE,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2021,82.5,,,SE,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2022,81.6,,,SE,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SE,2023,88.5,,,SE,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SI,2019,63.8,,,SI,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SI,2020,65.6,,,SI,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SI,2021,72.4,,,SI,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SI,2022,75.5,,,SI,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,SI,2023,78.5,,,SI,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
